nodos,ejes,bellman,dijkstra_basico,dijkstra_prioridad 
527, 526,1150.19 ,7142.88 ,1139
528, 527,409.298 ,6995.35 ,774.049
529, 528,1141.49 ,7221.35 ,1117.26
530, 529,558.677 ,7193.7 ,825.408
531, 530,352.676 ,7002.48 ,708.484
532, 531,968.613 ,7235.54 ,1034.75
533, 532,1437.98 ,7428.68 ,1245.78
534, 533,1046.49 ,7297.88 ,986.539
535, 534,747.584 ,7331.08 ,978.013
536, 535,859.929 ,7428.42 ,934.541
537, 536,1377 ,7532.54 ,1169.61
538, 537,832.622 ,7497.2 ,1016.4
539, 538,550.65 ,7405.55 ,837.339
540, 539,635.597 ,7556.44 ,928.694
541, 540,989.624 ,7669.06 ,1073.53
542, 541,788.743 ,7664.06 ,1054.91
543, 542,705.858 ,7598.14 ,872.828
544, 543,930.78 ,7678.93 ,985.678
545, 544,1187.66 ,7851.13 ,1171.62
546, 545,1285.36 ,7952.08 ,1205.66
547, 546,725.711 ,7835.52 ,940.198
548, 547,968.519 ,7883.62 ,1030.16
549, 548,813.425 ,7891.92 ,1005.83
550, 549,743.309 ,7979.44 ,1064.44
551, 550,860.764 ,7894.98 ,930.651
552, 551,831.721 ,8049.86 ,1042.79
553, 552,1261.16 ,8150.79 ,1162.72
554, 553,1226.08 ,8307.04 ,1320.34
555, 554,1359.43 ,8285.9 ,1250.83
556, 555,912.084 ,8235.32 ,1095.07
557, 556,459.272 ,8128.04 ,813.578
558, 557,797.323 ,8319.28 ,1074.05
559, 558,2043.65 ,8469.23 ,1269.87
560, 559,1863.35 ,8585.59 ,1352.56
561, 560,1721.4 ,8622.17 ,1380.13
562, 561,885.052 ,8504.68 ,991.834
563, 562,1505.31 ,8637.17 ,1283.61
564, 563,489.487 ,8397.62 ,843.742
565, 564,997.662 ,8764.57 ,1329.89
566, 565,1138.67 ,8633.83 ,1086.31
567, 566,564.834 ,8589.48 ,884.645
568, 567,1073.87 ,8773.44 ,1173.4
569, 568,414.082 ,8594.69 ,817.533
570, 569,1517.68 ,8928.69 ,1286.27
571, 570,1039.53 ,8911.43 ,1163.51
572, 571,2008.88 ,9125.17 ,1428.54
